"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 04 11:31:42 EEST 2023","Thu May 04 11:31:54 EEST 2023","12578","chromium","","A few tests for https://rozetka.com.ua/ua/","","","Verify the price filter working corectly for the following marketplaces",""
"passed","Thu May 04 11:32:14 EEST 2023","Thu May 04 11:32:20 EEST 2023","6078","chromium","","A few tests for https://rozetka.com.ua/ua/","","","Search the item",""
"passed","Thu May 04 11:32:56 EEST 2023","Thu May 04 11:33:16 EEST 2023","19091","firefox","","A few tests for https://rozetka.com.ua/ua/","","","Verify the price filter working corectly for the following marketplaces",""
"passed","Thu May 04 11:33:16 EEST 2023","Thu May 04 11:33:33 EEST 2023","17037","firefox","","A few tests for https://rozetka.com.ua/ua/","","","Add items to the basket",""
"passed","Thu May 04 11:31:54 EEST 2023","Thu May 04 11:32:14 EEST 2023","19681","chromium","","A few tests for https://rozetka.com.ua/ua/","","","Add items to the basket",""
"broken","Thu May 04 11:34:19 EEST 2023","Thu May 04 11:34:50 EEST 2023","30880","firefox","","A few tests for https://rozetka.com.ua/ua/","","","Add items to the basket & back to main page",""
"passed","Thu May 04 11:33:33 EEST 2023","Thu May 04 11:33:38 EEST 2023","4956","firefox","","A few tests for https://rozetka.com.ua/ua/","","","Search the item",""
"failed","Thu May 04 11:32:38 EEST 2023","Thu May 04 11:32:46 EEST 2023","8033","chromium","","A few tests for https://rozetka.com.ua/ua/","","","Add items to the basket & back to main page",""
